speaker,emotion,min_pitch,max_pitch,mean_pitch,min_intensity,max_intensity,mean_intensity
mf,interest,124.11500063397604,397.01833561787777,293.74409631038725,33.57936591726178,69.73338279259951,62.9451967649229
mf,anxiety,146.87808056161538,240.3691241095848,164.44518329146055,42.312602403211734,73.74825578228237,68.54053390205938
cc,pride,94.3263930633103,200.0257548970265,122.17742051482031,17.9282402212343,64.27338346947194,55.487919233186204
cc,boredom,88.46391252738708,218.5337602596627,128.60917763080514,19.371801315810917,67.532694262923,60.603200002744245
jg,panic,144.25454699985866,234.61766609415048,178.3399415629551,26.520651415643812,63.37028783451317,51.32800553264061
mm,cold-anger,124.5324527444846,153.1225593042267,146.53857202482195,24.294950348189793,70.5741219965111,61.50832276260458
cl,neutral,77.33539545011952,104.40144200654824,87.45055215141983,12.509367077423898,70.89699662323711,61.270588781283706
gg,contempt,112.21980703058406,364.0560427678987,216.3424874336946,30.8941257833988,77.64551248864007,70.29047244148904
cl,elation,105.51715232617194,354.7557702076425,267.4233428351597,9.746634065209337,86.71765245383807,76.64394149891251
mk,interest,198.68056807216087,282.9050920694864,229.21787322686163,28.146478309176654,77.63861783484606,68.23723841752684
cl,contempt,75.61023158187281,115.65572887115147,97.42145451551477,11.818935265942637,64.60145545098413,54.84986385090743
gg,interest,129.22254516991705,371.3340338395115,236.24377079056077,47.210328227319046,83.36507419937786,76.0064909119971
gg,anxiety,147.2839304274246,231.24883431073678,174.6851191633255,25.55188897429424,67.18807359867287,58.0955161694014
gg,happy,149.3097363579096,462.8735555314417,275.42075808978313,35.37260929534413,77.62975945544137,69.30016368382964
jg,shame,79.59629084837606,603.8798196237361,201.9297602517216,31.213847969044473,56.96792205180765,49.83213515706134
gg,disgust,161.77978434883838,448.80013620553626,239.49842939087912,32.693617063417605,86.86658013671857,77.48669465535353
jg,sadness,187.17855892776794,590.0747319398577,243.69484317351152,30.443159801428568,65.5571934941363,57.040165872223966
gg,happy,148.9734962976454,399.53876602782515,243.99400797257377,29.13249589221318,72.67791164880927,65.60140574833567
mk,boredom,84.73800639545405,554.0861088191033,248.72022177763333,24.801950366189583,62.62550776703926,55.22625754659194
mf,anxiety,106.92434099740836,157.25997307206177,121.60578783172123,28.15234133420923,67.05628993346116,59.49768550632044
gg,pride,151.52491858648787,322.5232886336236,196.65720413068644,23.63339655694659,76.16413208360568,69.91408839717586
gg,disgust,125.68459721117144,388.18604023782314,235.2284174967252,38.491377416998645,81.87982971170058,75.187571619332
jg,contempt,123.97755357334749,570.0650541927272,228.72495740794574,30.68084608882554,63.98074613924025,54.61699888490407
mf,interest,140.34024209605667,300.23668606594595,251.01421957877264,35.322650573135746,65.36088308977483,58.41458142228262
cl,cold-anger,88.45306783685353,184.93767049312032,126.64210245703845,11.374841829154587,82.96667746781743,73.00400628467312
gg,happy,162.27815582301935,477.854926181851,208.7109928067016,31.53614675213298,76.87884372324758,71.37478629454034
jg,happy,100.72033176266086,259.663066084566,213.68658521221323,25.945776574023835,59.23884644821707,51.018689900770866
gg,cold-anger,171.12263491788914,318.38238629516746,241.33056731442267,34.93888531567345,79.30022514317898,70.60146084591037
jg,happy,94.96368038751766,587.6311601520584,243.2227459406924,31.66863039011328,77.6149712439135,67.76561513549966
mm,cold-anger,77.66820050322607,192.11226950720555,151.4551802751227,31.146705186470474,80.27187144673366,71.45979386078346
mf,happy,200.8198512573681,454.78348613950095,329.3442357561628,58.8831065054524,85.33524633860709,78.89468241618367
cc,pride,86.89104014303724,201.09140257713366,118.24900224243603,25.37402487063935,72.95236774630222,61.62811989541302
mf,interest,129.68793909676842,267.4214556180358,185.1091148663458,34.60523416779905,67.75587816874824,62.347293029539934
gg,interest,131.98845558870434,274.1218192737715,190.38266377662785,37.19217586383435,84.6468829154199,77.13698008017778
gg,anxiety,155.95490272207013,538.2034672311316,237.98139377283712,21.5691087313939,73.34150382980694,66.4152153274791
mm,anxiety,125.189883570167,501.9099892700462,157.9717996205326,37.98558381068295,69.58477852421721,62.51147540484857
gg,panic,192.63411674234655,453.360582007711,316.1772449497314,55.61726866739147,83.16243416822071,75.184379227615
mk,shame,118.98242807259848,400.5230622555946,195.40258292211104,37.42534332465678,79.75784242432835,72.86010698515415
cl,cold-anger,78.30472314298925,156.3489506439323,126.298526186397,12.755970979698937,83.2535646690142,73.48018006574343
mk,elation,334.5996396052099,476.9811883439707,399.55102355069874,32.125595484040495,78.69575351047767,64.21672240215948
mk,pride,209.1606951681766,586.3623295917376,276.9880712610224,43.317346737898006,89.78056893372798,80.68652102854747
cl,neutral,80.7567282657439,111.08689332448019,86.57142669196409,18.113758252052534,70.441364424653,58.795344490632445
gg,boredom,107.63518540055526,259.14404044771527,173.11827163574816,42.35153091419336,75.5047016646774,70.66861169219504
mf,boredom,97.26498332581089,136.4241239644388,117.05872382351224,33.169528771733646,64.36628886996539,58.465623119480206
cc,shame,92.29208548618064,194.8493218294381,130.79022229798034,18.267929698448157,72.62977810083245,64.26911859665535
cc,cold-anger,177.67361059022141,274.34064406851786,225.84654617951037,37.203692701255484,85.6079509003166,76.01215028495949
mf,elation,70.87455495898239,371.57290787536175,173.10087976012724,37.63936758665008,74.30662888729447,67.32244863893898
mf,interest,125.81765099326515,324.80830069156167,191.49756096846056,28.62432780273455,68.88692989243405,61.052553010481844
mm,panic,355.1186611963147,548.7398977324751,430.08030652721027,47.16840116735773,87.65796408017792,77.85743871571464
mf,shame,111.33960035063403,152.02449246889316,126.802802441169,41.66389078198797,81.23266450384097,73.73391085070152
mf,happy,175.81713441650717,289.39065526879335,230.14405463784468,23.292793065699968,66.56631119190719,61.245156284627356
mk,cold-anger,170.81113298998972,350.44173644634367,275.80491199701254,33.77822269804064,75.10314022064148,68.82969337131615
mk,boredom,178.19781585182474,249.26189715633757,203.61827911796686,28.09848287105884,73.01708378439702,65.22497788229336
jg,cold-anger,211.88733335913864,325.4357959470143,296.56190462473415,31.036859021915557,72.2300978896581,62.878917536268176
jg,elation,165.40650444875115,385.7461927512058,284.63536613629776,35.45242115325354,86.40209825031869,77.00298662649509
gg,panic,192.46743258018734,555.7392417596573,366.9080890282378,42.225111207634114,87.70050773439573,79.28385266310421
mk,despair,216.8381014710782,449.4723103346079,349.80703986151394,40.249403844420215,80.31929781477746,71.78523977386091
mf,cold-anger,116.42215332915312,441.54856182186086,320.29453075168294,53.48652350772283,89.02451392097852,80.6802607702098
mk,boredom,95.50937747952469,168.95456632149558,153.08171151532693,25.336958929869244,69.58394887962253,60.522298913202945
jg,sadness,150.96697207427613,263.1169695074873,219.77941252621665,32.887214070311344,71.67950190566056,63.83084678056552
cl,boredom,75.41917703891284,90.85080026115277,82.16657893289957,16.41884755032181,64.1577423163976,54.90014391818444
mk,happy,271.62093730080613,546.5529298989582,450.96230425982657,27.15206793842201,79.40386767568273,66.94053768191944
mm,despair,76.36184532250967,535.4671939578259,169.39631439505573,26.495493415695908,70.79518142504553,61.91165847878801
jg,elation,196.97093917636886,449.62663157999435,354.4536510463595,30.818573256532158,81.54751442160365,74.40869647546485
mk,anxiety,219.49135252072136,533.4805708315628,282.0608563946178,24.41145053824841,80.05391734718629,62.225152556873525
mf,hot-anger,146.29212220947286,400.3908437362501,307.7876749786612,19.637735110649945,80.65237738629517,69.96441205329475
jg,cold-anger,134.57999727465386,434.58563690668433,295.63109738276444,31.582178787884757,79.18917988628931,69.11747772560842
mk,interest,212.42642616408003,294.53962669502613,241.93413893107666,30.60117647924385,78.70031137711736,69.35009866224857
cl,pride,86.38982571425905,164.0192897906186,120.85500572665826,11.408688368244839,74.15635089348085,63.8060812717993
mf,contempt,104.36562220226196,269.6704724817982,186.6273886999797,33.015904829364366,86.99041417594916,79.7781265332952
gg,cold-anger,126.24901216279216,339.8458521043098,217.3216460743997,21.974582060066112,77.85125825276488,70.49886338463688
jg,elation,204.77089902324,576.9299026042507,287.57622872915596,31.539644461496973,82.63150860323316,73.10991091929513
mm,despair,84.169062066646,278.1328932778993,189.27157300516228,26.256803866163743,75.86889750814595,67.56879616822913
jg,disgust,79.80473235930349,582.494574544287,268.26057370935234,29.243037217076868,72.73042344945074,63.050653885046415
gg,sadness,89.07168041083114,304.1392119129823,202.40711630903016,39.75536646862769,75.31321040658067,68.31966002680107
gg,disgust,193.58385180207338,483.8989910920857,341.8982165842182,18.19713066279406,82.30972658374161,76.52003545232955
mk,despair,218.13952113307136,428.9980118305907,332.4840149231639,25.846299977312697,82.94960708694407,74.02893601211541
mf,despair,94.55055498461005,152.64420462741518,125.1031342214753,24.14551291528635,65.641923536591,57.908677007443586
cl,despair,78.7358866550299,160.21369133674386,125.77906564171418,19.0558900237272,72.56453514647676,65.68150922731542
mf,contempt,120.5745540244117,211.5125726897152,154.40436649122714,24.94688560486036,68.98349297468914,62.91328589504805
cc,panic,219.3608994803996,345.28001261333844,290.8188872168858,33.057441132632846,86.24957217757314,74.61895078297633
mk,happy,216.51329446883506,452.9360653661312,310.5403250297515,28.830260629240197,75.67251915650174,66.09967294658445
gg,happy,140.92248402223268,338.6263690350533,212.3005950199559,30.589042492046133,77.06371305852076,68.16552419104791
mm,hot-anger,121.58655596034698,318.57156952791837,221.80147578366797,10.008543260554895,75.01689576652544,66.6055147469823
cl,shame,78.87697458660615,120.06314479437827,95.55339473285518,16.357166615038732,76.27057099217187,65.21165387654301
jg,pride,154.88241397837993,585.5418492197946,294.83267776998406,26.959510639770837,60.29429387349846,50.85089328159208
gg,pride,76.28312688575693,344.6225774283806,244.41985511631378,27.02292601401407,75.45333666300007,66.90983458446826
cc,sadness,88.05292293880574,108.79864999210407,97.84823825537187,26.29707580496918,69.11335362911807,60.86744418366584
gg,elation,260.1606928499956,631.4308531757476,399.31917832885927,34.1457223931758,85.40593842430093,79.82510059135943
mm,despair,223.84451452032528,395.56874405851704,273.7079375033307,29.770948580618246,81.08971281367364,74.18114553052094
mm,contempt,86.21843238411039,254.16646594700512,175.08509137451637,27.324978464318882,71.30429153941657,62.94064269490739
mf,neutral,100.96518791285584,155.68820830656205,113.78246691793888,17.66782860586171,68.37110468430242,60.82219961325503
mm,interest,132.87123588038813,361.5872781374183,286.81436261164936,22.29855348488706,74.38860199077665,65.49116918572084
cc,elation,167.33583944007262,368.71103087701835,272.17621907174293,12.583089427683348,63.31153210722139,56.013595885665985
mk,despair,141.50927862514342,421.5249795180164,327.20591744976883,36.082596069649476,81.01140690444271,74.78477134615063
gg,neutral,135.80068211006787,245.75744301368684,164.69892767052664,18.87612039582637,74.7294608977862,69.22267146008367
mm,contempt,116.80069395018945,212.83787963707533,176.00058929365642,22.54837354668762,77.56465977908566,67.85409631847713
cl,hot-anger,253.2530691257789,324.6679811645111,289.0033863397144,11.280023180827303,89.69166174104086,78.24312173079358
mf,anxiety,118.38655544495633,224.49418206378593,154.11163797062875,41.55052929604787,73.2328004627928,67.8617602288059
cl,panic,157.40283277133284,241.35701491398848,192.6581119160902,10.120804294772244,79.27413355183714,66.62433611832466
mm,elation,130.30500186629118,390.6581815919046,310.6598490425547,35.684884643368584,83.24244359899815,75.6132498253732
mk,cold-anger,183.1920795879588,457.4877732287747,312.9236746738639,31.659302502726774,88.60953596118631,77.9051692971249
mk,interest,173.90646117034612,307.34776928145726,227.94108442108993,28.768162685325606,76.15821001150687,68.54588913375758
mf,hot-anger,259.1240400616174,494.43857235616844,337.6483119771795,23.7574308270035,77.68154988604739,69.91758547898287
mm,anxiety,150.7816297576475,212.1644439361318,180.22474831129597,34.25462433876711,72.1943984394262,63.49177890495271
mk,disgust,185.83947624580523,326.656519150383,239.1349759880554,24.212515453823315,73.27133694478691,64.55148651079966
cc,shame,119.09917814624376,314.08655844551106,229.56625934959263,37.557912847544024,88.44065195803185,78.11587899090267
mm,contempt,155.38421936536525,302.3957173466291,220.90720074514007,33.03768125923136,77.63189047105169,70.31113866383018
cl,disgust,75.0007136126586,119.9373106014504,94.93395015450761,13.595644404114454,69.24963010998842,59.654864431360295
mm,despair,190.65278501577865,581.1349045152562,241.07471188880572,28.462661086802427,74.46730450552876,68.01322274652917
cc,hot-anger,145.54056038699568,406.7606232198787,302.39979155253815,13.894703564166386,78.58266475870106,71.1686036790661
cl,contempt,76.8892275631146,526.2921362301491,187.95666265773966,15.619442529608202,82.1404096941883,71.9497135826688
mk,despair,215.02337050230315,483.9498681089498,339.72463301115124,27.9622831245616,80.57253859631093,69.8201278553106
mk,despair,203.83403319088728,594.2926952712248,295.9969579936986,19.56511922730708,70.69141112806696,61.791238977068176
gg,shame,101.19196593574962,490.9985905581984,142.75315941229812,37.52237580499164,79.50480211064786,70.88789120402993
mm,boredom,152.104029538341,205.76054190843092,189.19438078539704,29.89118790509481,82.38362795129886,75.24025469619652
gg,hot-anger,214.03414384800146,570.0872503525985,453.65529466745096,41.987513592256974,82.37489544827251,73.09975116803592
gg,pride,132.88658989423385,375.3973874326594,219.46453410036793,29.577296953624355,76.03609923850362,69.35806814114318
cl,shame,82.47003562445938,112.01412820586292,93.68434643136052,19.42905910749453,73.32491530604267,62.03360120640702
cl,interest,80.50811174576822,268.60440349852684,176.89262467775012,18.5132750621519,76.94717125468367,65.49884547173089
mf,neutral,99.3135928635619,122.24337936437779,107.657846991592,18.360663272310305,69.95303025271433,62.89278015801731
cc,shame,92.56746104186155,265.4124260371512,145.96737702807937,31.76737536489902,78.92914078193638,68.97390603431948
mm,panic,268.29682686845854,442.67490647445436,343.6278167911643,34.16496211003384,80.59444211798588,72.83547235371546
cc,anxiety,77.13281381984943,108.73806177929124,92.85637670822047,35.94541279126025,74.5548203324236,69.30124960939057
